SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
R,14.4067,2.97737,4.54543,2.46131,14.5568,2.87021,14.3646,3.00303,4.38974,2.46099,1.56775
L,14.6161,3.04262,4.52114,2.38333,14.4616,2.90734,14.583,3.12802,4.34097,2.5362,2.34291
R,14.8464,3.19678,4.51632,2.51883,14.6754,3.96041,14.7989,3.25679,4.29021,2.61157,3.72325
L,15.0527,3.39141,4.41003,2.74996,15.0261,3.5067,15.0122,3.38932,4.23744,2.68703,0.98898
R,15.2619,3.5632,4.29618,2.90631,15.3685,4.14761,15.2228,3.52563,4.18263,2.76249,2.45207
L,15.4753,3.74881,4.21594,3.07258,15.5236,3.82936,15.4306,3.66572,4.12575,2.83789,0.531099
R,15.6871,3.88359,4.17872,3.09983,15.7234,3.4105,15.6356,3.80957,4.06678,2.91315,1.041
L,15.9108,4.02112,4.16374,3.12325,15.9774,4.00094,15.8375,3.95718,4.00571,2.98817,0.282063
R,16.1045,4.18951,4.02611,3.23168,16.3376,4.21632,16.0363,4.10854,3.94251,3.0629,1.74046
L,16.302,4.3822,3.93989,3.37384,16.3313,4.44499,16.2319,4.26363,3.87716,3.13723,0.293298
R,16.5123,4.54635,3.91571,3.42823,16.7586,4.48231,16.4242,4.42242,3.80966,3.21109,0.68337
L,16.6916,4.71134,3.833,3.48784,16.6039,4.67344,16.613,4.5849,3.74,3.28438,0.475286
R,16.8402,4.91455,3.56658,3.64833,16.9236,5.10119,16.7983,4.75103,3.66817,3.35704,4.29616
L,17.004,5.13704,3.43019,3.81336,16.9955,5.21099,16.9799,4.92077,3.59416,3.42897,0.376773
R,17.173,5.31131,3.33516,3.85937,17.3421,4.64623,17.1578,5.09409,3.51797,3.50008,1.76382
L,17.3337,5.48714,3.25138,3.90009,17.2894,5.43542,17.3319,5.27094,3.4396,3.57028,0.255914
R,17.4886,5.66104,3.13899,3.93483,17.6463,4.74597,17.5019,5.45128,3.35907,3.63949,3.2583
L,17.6863,5.77594,3.1801,3.82659,17.7853,5.62476,17.6679,5.63506,3.27637,3.70762,2.20371
R,17.8269,5.97807,3.01389,3.92209,17.9216,6.07151,17.8297,5.82221,3.19151,3.77458,0.944233
L,18.0032,6.16233,2.9827,3.95459,18.1263,6.16985,17.9872,6.01269,3.10453,3.84027,0.826112
R,18.1518,6.37208,2.8954,4.03912,18.1245,6.79027,18.1403,6.20641,3.01542,3.90462,0.658059
L,18.2728,6.60723,2.74398,4.17048,18.2164,6.66138,18.2888,6.40332,2.92421,3.96753,0.401229
R,18.4032,6.82397,2.6217,4.24871,18.4022,7.02231,18.4328,6.60333,2.83093,4.0289,0.193112
L,18.555,6.95501,2.62247,4.14602,18.5422,6.76013,18.572,6.80638,2.7356,4.08866,2.3977
R,18.7055,7.16018,2.61775,4.1846,18.8089,7.24388,18.7064,7.01237,2.63826,4.14672,0.707406
L,18.9077,7.29177,2.71667,4.05884,19.1441,7.18344,18.8359,7.22122,2.53893,4.20299,4.15932
R,18.9928,7.49924,2.48435,4.13075,18.5479,7.4012,18.9604,7.43283,2.43767,4.25737,4.07346
L,19.0822,7.76167,2.30534,4.29039,19.0138,7.8688,19.0798,7.64712,2.3345,4.3098,1.07821
R,19.2037,7.96861,2.24992,4.3202,19.3089,7.67375,19.1939,7.86397,2.22949,4.36017,0.319855
L,19.2827,8.18372,2.10249,4.37128,19.132,8.12845,19.3028,8.08329,2.12266,4.40842,1.35552
R,19.3826,8.39395,2.04538,4.39891,19.0239,8.17194,19.4062,8.30497,2.01409,4.45445,2.29781
L,19.4799,8.5398,1.99764,4.30871,19.347,8.30741,19.5042,8.5289,1.90381,4.49819,3.97247
R,19.5702,8.74957,1.88105,4.33693,19.6843,8.35902,19.5967,8.75494,1.7919,4.53956,0.575697
L,19.7357,8.91923,1.96012,4.26966,20.0039,8.8906,19.6835,8.983,1.67841,4.57848,4.17644
R,19.807,9.1426,1.78581,4.32439,19.6061,9.48659,19.7645,9.21294,1.56341,4.61488,1.0401
L,19.9388,9.3657,1.78289,4.35693,20.1574,9.45949,19.8398,9.44463,1.44697,4.64869,2.97715
R,19.9807,9.59145,1.53255,4.40802,19.6163,9.76606,19.9093,9.67795,1.32916,4.67984,2.65124
L,20.0678,9.82996,1.45012,4.46718,20.1573,9.90876,19.9728,9.91275,1.21005,4.70826,0.746498
R,20.1285,10.0785,1.35111,4.54255,19.1911,11.5493,20.0303,10.1489,1.08972,4.73389,7.16291
L,20.175,10.3507,1.18834,4.64638,20.166,10.4687,20.0817,10.3863,0.968259,4.75666,0.864577
R,20.1881,10.5899,0.929898,4.68155,19.6774,10.803,20.1271,10.6247,0.845742,4.77651,2.73638
L,20.246,10.861,0.816182,4.76042,20.3711,11.0109,20.1663,10.864,0.722256,4.7934,2.01904
R,20.2755,11.1175,0.692943,4.81168,19.4335,12.3402,20.1993,11.1041,0.597892,4.80727,4.89532
L,20.3096,11.3551,0.579666,4.82252,20.3164,11.3483,20.2261,11.3449,0.472738,4.81806,0.005861
R,20.2503,11.608,0.150457,4.82778,19.2063,12.2418,20.2466,11.5861,0.346889,4.82575,9.97862
L,20.323,11.8456,0.143307,4.82977,20.6141,11.9421,20.2608,11.8275,0.22044,4.83027,5.05854
R,20.3527,12.0789,0.168611,4.83965,19.966,11.9688,20.2687,12.0692,0.093487,4.83159,4.02218
L,20.3391,12.3643,-0.0123313,4.90731,20.3263,12.4966,20.2701,12.3108,-0.0338694,4.82968,1.05257
R,20.2866,12.6046,-0.32889,4.87134,20.0192,12.4822,20.2653,12.5522,-0.161529,4.82451,2.87594
L,20.3124,12.8423,-0.378823,4.8572,20.498,12.8924,20.254,12.7933,-0.28939,4.81605,2.01002
R,20.3004,13.0744,-0.498568,4.82891,20.9151,12.2555,20.2363,13.0339,-0.417348,4.80428,2.11166
L,20.265,13.287,-0.638751,4.77049,20.1943,13.1688,20.2122,13.2738,-0.545298,4.78918,1.01308
R,20.2271,13.5224,-0.74926,4.75559,19.858,13.5236,20.1818,13.5129,-0.673135,4.77072,1.33068
L,20.2074,13.7798,-0.847301,4.76587,20.3245,13.8896,20.1449,13.7509,-0.800753,4.74892,1.35598
R,20.1511,14.0078,-1.02283,4.71567,20.3387,13.5307,20.1017,13.9878,-0.928043,4.72375,0.791409
L,20.096,14.2619,-1.16427,4.7127,20.1216,14.337,20.0521,14.2233,-1.0549,4.69521,0.343975
R,20.0243,14.4914,-1.3052,4.67241,19.6717,14.4038,19.9962,14.4573,-1.18121,4.66331,1.36201
L,19.9155,14.7449,-1.52235,4.65449,19.781,14.773,19.9339,14.6897,-1.30687,4.62805,1.10553
R,19.8499,14.9637,-1.57501,4.61536,20.1149,14.0165,19.8655,14.9202,-1.43177,4.58944,3.4331
L,19.8212,15.1811,-1.59497,4.56545,20.0208,15.2053,19.7908,15.1486,-1.55581,4.54751,2.25689
R,19.6862,15.3903,-1.97779,4.39396,20.0157,15.3443,19.7099,15.3749,-1.67887,4.50226,7.58023
L,19.6573,15.578,-1.97604,4.30529,19.9131,15.554,19.6229,15.5989,-1.80085,4.45372,3.80179
R,19.5648,15.7837,-2.07039,4.24322,19.9388,15.0864,19.5298,15.8203,-1.92164,4.40193,1.41021
L,19.4608,15.9964,-2.1962,4.18159,19.4748,16.0098,19.4307,16.039,-2.04114,4.3469,0.0199412
R,19.3608,16.2054,-2.23779,4.15517,19.1556,16.0022,19.3257,16.255,-2.15925,4.28868,1.9237
L,19.2518,16.3826,-2.33873,4.04837,19.238,16.2719,19.2148,16.4679,-2.27586,4.22731,0.691973
R,19.1341,16.5794,-2.45361,3.97179,19.4007,16.2962,19.0981,16.6777,-2.39087,4.16284,0.275169
L,19.0041,16.7893,-2.57682,3.91878,19.0029,16.8387,18.9757,16.8841,-2.50418,4.0953,0.138196
R,18.8463,16.9803,-2.83867,3.7533,18.8373,17.7112,18.8477,17.0872,-2.61571,4.02476,6.3122
L,18.6717,17.2147,-3.02463,3.7207,18.6148,17.3832,18.7142,17.2866,-2.72534,3.95127,1.84987
R,18.5717,17.4211,-2.90825,3.78328,18.8177,17.0316,18.5752,17.4822,-2.83299,3.87489,6.2194
L,18.3583,17.6129,-3.123,3.68875,18.1023,17.5529,18.4309,17.674,-2.93858,3.79568,3.8059
R,18.2218,17.8056,-3.11139,3.68696,18.2749,17.4877,18.2814,17.8617,-3.042,3.71372,2.08897
L,18.0922,17.9926,-3.15041,3.62838,18.2094,18.0461,18.1268,18.0453,-3.14318,3.62906,0.894539
R,17.9154,18.1459,-3.31254,3.45945,18.3021,17.498,17.9671,18.2246,-3.24204,3.5418,2.22962
L,17.7855,18.289,-3.33415,3.34061,17.9017,18.2183,17.8026,18.3994,-3.3385,3.45199,1.10491
R,17.6522,18.4702,-3.34251,3.30934,18.8558,18.1364,17.6334,18.5697,-3.43247,3.35973,6.54503
L,17.4585,18.6526,-3.46555,3.24983,17.3845,18.7039,17.4595,18.7353,-3.5239,3.26509,0.485355
R,17.2772,18.7928,-3.57699,3.10346,17.7945,18.0801,17.2811,18.8962,-3.61271,3.16817,1.85977
L,17.1166,18.9298,-3.6211,2.9908,17.1762,18.8863,17.0983,19.0521,-3.69883,3.06904,0.325423
R,16.9492,19.1002,-3.66065,2.95525,16.9398,19.7311,16.9113,19.203,-3.78221,2.9678,2.96579
L,16.7324,19.216,-3.78143,2.80302,16.5734,19.052,16.7202,19.3488,-3.86278,2.86455,2.76198
R,16.542,19.369,-3.86672,2.71598,16.1674,20.2201,16.5251,19.4894,-3.9405,2.75937,3.24813
L,16.317,19.5305,-3.98832,2.65171,16.2338,19.617,16.3262,19.6246,-4.01531,2.65237,0.860807
R,16.0938,19.6126,-4.11219,2.41844,16.4366,18.2742,16.1237,19.7545,-4.08716,2.54365,10.1123
L,15.8882,19.7564,-4.18143,2.34615,15.9243,19.8703,15.9176,19.8789,-4.15602,2.43329,0.767801
R,15.7,19.8821,-4.15714,2.33151,16.2328,19.2166,15.7082,19.9978,-4.22185,2.32141,3.17114
L,15.4694,20.036,-4.25204,2.29205,15.4332,20.1836,15.4956,20.111,-4.2846,2.2081,1.32276
R,15.2573,20.1784,-4.29699,2.25873,14.3677,21.3406,15.2799,20.2185,-4.34427,2.09347,5.60055
L,15.0694,20.3108,-4.30601,2.20739,15.2016,20.4385,15.0613,20.3203,-4.4008,1.97763,1.7925
R,14.8386,20.3922,-4.39198,2.02899,14.7476,19.9571,14.84,20.4162,-4.4542,1.86068,2.23822
L,14.6231,20.5119,-4.4343,1.96207,14.6665,20.6088,14.6161,20.5063,-4.50443,1.74272,0.60115
R,14.3861,20.5982,-4.52552,1.79162,13.841,21.0031,14.3897,20.5904,-4.55149,1.62386,1.31759
L,14.1395,20.6719,-4.59689,1.64607,14.0521,20.5924,14.1611,20.6686,-4.59537,1.50421,0.742085
R,13.9026,20.743,-4.66324,1.47563,13.8232,20.859,13.9304,20.7408,-4.63606,1.38386,0.330813
L,13.6281,20.8059,-4.76098,1.3206,13.4687,20.7253,13.6977,20.807,-4.67357,1.26294,1.733
