SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
L,-1.77506,9.59433,-1.76133,-4.81018,-1.73381,9.71347,-1.81147,9.53564,-1.90924,-4.82172,0.854459
R,-1.88481,9.34149,-1.74155,-4.87883,-2.27191,9.37316,-1.90631,9.29431,-1.88502,-4.83316,2.50669
L,-1.96432,9.04888,-1.66493,-4.9636,-1.93833,8.77028,-1.99998,9.05243,-1.86233,-4.84374,4.08954
R,-2.05174,8.82619,-1.6641,-4.90873,-1.96565,9.13274,-2.09256,8.81003,-1.8412,-4.85347,1.82106
L,-2.14699,8.57426,-1.65175,-4.93171,-2.1768,8.5411,-2.18412,8.56717,-1.82164,-4.86238,0.115383
R,-2.27757,8.3195,-1.73327,-4.95151,-2.65863,8.19477,-2.27474,8.32388,-1.80365,-4.87047,2.70006
L,-2.32079,8.08667,-1.5955,-4.94519,-2.21875,8.15339,-2.3645,8.0802,-1.78727,-4.87778,0.897219
R,-2.38348,7.87396,-1.53476,-4.8972,-2.273,8.52315,-2.45348,7.83617,-1.77248,-4.8843,5.52375
L,-2.4977,7.62254,-1.58882,-4.91855,-2.59674,7.60288,-2.54177,7.59183,-1.75931,-4.89006,0.62806
R,-2.66621,7.38722,-1.83831,-4.8457,-3.08256,7.38874,-2.62944,7.34723,-1.74777,-4.89507,5.26016
L,-2.77036,7.13186,-1.8579,-4.86653,-2.79865,7.064,-2.71658,7.10238,-1.73786,-4.89933,0.296124
R,-2.82784,6.89684,-1.72751,-4.89356,-2.79412,7.20818,-2.80326,6.85734,-1.72958,-4.90286,1.83124
L,-2.86763,6.68987,-1.60466,-4.84589,-2.74651,6.86867,-2.88957,6.61214,-1.72295,-4.90566,2.61958
R,-2.93242,6.46819,-1.60768,-4.77118,-2.57673,6.36755,-2.97559,6.36681,-1.71797,-4.90774,3.9605
L,-2.98641,6.23238,-1.53323,-4.77035,-2.90217,6.22989,-3.0614,6.12139,-1.71464,-4.90911,0.413
R,-3.10421,5.98425,-1.59633,-4.80568,-3.50172,6.10796,-3.14709,5.87592,-1.71297,-4.90976,3.34364
L,-3.18734,5.71001,-1.58576,-4.86018,-3.17781,5.53101,-3.23274,5.63044,-1.71295,-4.9097,1.69796
R,-3.29768,5.46271,-1.70221,-4.8288,-3.19736,5.19093,-3.31843,5.38497,-1.71458,-4.90893,2.05435
L,-3.39548,5.20149,-1.72791,-4.85962,-3.43031,5.10507,-3.40424,5.13955,-1.71787,-4.90745,0.5727
R,-3.46036,4.95544,-1.64142,-4.88703,-3.4281,4.94644,-3.49026,4.89422,-1.72281,-4.90525,0.346011
L,-3.57608,4.67689,-1.70465,-4.94598,-3.69435,4.52196,-3.57657,4.64902,-1.72939,-4.90233,2.10312
R,-3.68549,4.42427,-1.818,-4.91747,-3.50501,4.17643,-3.66325,4.40398,-1.73762,-4.89868,2.02917
L,-3.82043,4.15288,-1.91932,-4.95875,-4.00238,4.04684,-3.75039,4.15913,-1.74749,-4.8943,2.44771
R,-3.89827,3.91215,-1.83496,-4.97285,-4.06447,4.10977,-3.83806,3.91452,-1.75899,-4.88918,1.32538
L,-3.97028,3.67991,-1.79549,-4.94367,-3.88053,3.75177,-3.92635,3.67019,-1.77212,-4.8833,0.717911
R,-4.07097,3.47534,-1.87191,-4.85001,-4.23729,3.88878,-4.01533,3.42616,-1.78686,-4.87666,4.04486
L,-4.16265,3.23088,-1.87676,-4.84971,-4.15119,3.21968,-4.10509,3.18248,-1.8032,-4.86925,0.0135977
R,-4.27771,2.97672,-1.96483,-4.85074,-4.27467,2.88187,-4.19571,2.93919,-1.82113,-4.86104,0.639748
L,-4.36837,2.70253,-1.96072,-4.8978,-4.32451,2.55034,-4.28727,2.69633,-1.84065,-4.85202,1.34678
R,-4.45398,2.45279,-1.91984,-4.9114,-4.38481,2.39989,-4.37985,2.45393,-1.86173,-4.84218,0.254221
L,-4.55889,2.18756,-1.93947,-4.94567,-4.61223,2.09192,-4.47352,2.21205,-1.88436,-4.83149,0.63843
R,-4.66831,1.9581,-2.07442,-4.87354,-4.29257,1.92854,-4.56836,1.97072,-1.90853,-4.81994,3.83423
L,-4.7849,1.6841,-2.11305,-4.9223,-4.86829,1.53442,-4.66444,1.72998,-1.93422,-4.80751,1.55505
R,-4.90803,1.43597,-2.2083,-4.90416,-4.98165,1.43611,-4.76186,1.48989,-1.9614,-4.79417,0.38505
L,-4.96815,1.20249,-2.15293,-4.86222,-4.66779,1.28643,-4.86067,1.25049,-1.99007,-4.7799,5.04488
R,-5.06274,0.985888,-2.13495,-4.80679,-4.98594,1.10894,-4.96094,1.01182,-2.02019,-4.76468,1.17402
L,-5.12411,0.753791,-2.08459,-4.77477,-4.85498,0.825662,-5.06277,0.77393,-2.05174,-4.74848,4.02216
R,-5.21758,0.458684,-2.08568,-4.8713,-4.84736,0.18101,-5.16621,0.536876,-2.08471,-4.73127,5.29588
L,-5.29264,0.218196,-2.05611,-4.85457,-5.1231,0.257311,-5.27133,0.300706,-2.11906,-4.71303,1.57309
R,-5.40153,-0.0174038,-2.01958,-4.84686,-5.99809,-0.290765,-5.3782,0.0654719,-2.15477,-4.69374,5.89163
L,-5.47203,-0.25625,-1.97832,-4.83472,-5.29972,-0.212982,-5.4869,-0.168772,-2.19181,-4.67335,1.64272
R,-5.59335,-0.436162,-2.08101,-4.70525,-5.64447,-0.144522,-5.59748,-0.401971,-2.23014,-4.65185,3.78172
L,-5.73065,-0.619109,-2.18436,-4.59111,-5.85359,-0.445801,-5.71001,-0.634069,-2.26974,-4.62919,2.58715
R,-5.84661,-0.844565,-2.3113,-4.55904,-5.30947,-0.724468,-5.82456,-0.865006,-2.31058,-4.60536,5.27912
L,-5.94165,-1.11555,-2.28598,-4.63224,-5.87835,-1.26863,-5.94118,-1.09472,-2.35262,-4.58032,1.5765
R,-6.02942,-1.38526,-2.24496,-4.69993,-5.68069,-1.52871,-6.05993,-1.32316,-2.39581,-4.55404,2.90153
L,-6.1688,-1.5914,-2.33772,-4.62449,-6.27264,-1.50938,-6.18087,-1.55025,-2.44014,-4.52648,1.00489
R,-6.31466,-1.82413,-2.53573,-4.59635,-6.11355,-1.75966,-6.30406,-1.77593,-2.48555,-4.49762,3.8026
L,-6.42066,-2.07567,-2.52819,-4.62388,-6.34007,-2.13685,-6.42954,-2.00014,-2.532,-4.46742,0.594133
R,-6.57279,-2.27602,-2.61804,-4.52935,-6.99344,-2.17445,-6.55738,-2.22281,-2.57946,-4.43585,2.97386
L,-6.72333,-2.48478,-2.70906,-4.46011,-6.79288,-2.4458,-6.68761,-2.44386,-2.62788,-4.40288,0.369729
R,-6.8804,-2.69465,-2.81236,-4.39547,-7.14408,-2.67584,-6.82029,-2.66323,-2.6772,-4.36847,0.985126
L,-6.97026,-2.96884,-2.73027,-4.50072,-6.8003,-3.10086,-6.95546,-2.88084,-2.7274,-4.3326,2.77491
R,-7.09849,-3.19316,-2.72385,-4.47812,-7.13937,-3.22028,-7.09316,-3.09663,-2.7784,-4.29523,0.314015
L,-7.22326,-3.38803,-2.75911,-4.40225,-7.12118,-3.26434,-7.23344,-3.31051,-2.83017,-4.25632,1.35304
R,-7.36866,-3.63709,-2.78399,-4.43569,-7.77186,-4.08999,-7.37632,-3.5224,-2.88265,-4.21586,4.49658
L,-7.53034,-3.77152,-2.92036,-4.22401,-7.49009,-3.49081,-7.52184,-3.73223,-2.93579,-4.1738,4.61456
R,-7.67597,-3.97899,-2.97963,-4.18906,-7.52393,-3.88213,-7.67004,-3.93992,-2.98953,-4.13012,0.446462
L,-7.82852,-4.21036,-3.01632,-4.20144,-7.88049,-4.29783,-7.82094,-4.14539,-3.04381,-4.08479,0.555823
R,-7.97949,-4.4286,-3.04706,-4.18773,-8.08524,-4.57834,-7.97457,-4.34854,-3.09857,-4.03778,0.414893
L,-8.13867,-4.66997,-3.07877,-4.2208,-8.22492,-4.79812,-8.13095,-4.5493,-3.15376,-3.98906,1.27227
R,-8.27579,-4.87576,-3.01486,-4.18044,-8.453,-4.95621,-8.29011,-4.74759,-3.2093,-3.93861,2.48232
L,-8.40588,-5.09725,-2.99661,-4.19591,-8.33552,-5.1059,-8.45204,-4.94331,-3.26514,-3.88641,0.294397
R,-8.55182,-5.26496,-2.99368,-4.08446,-8.55062,-4.79248,-8.61678,-5.13637,-3.32121,-3.83242,3.84107
L,-8.74309,-5.46229,-3.10439,-4.02763,-8.91477,-5.51752,-8.78433,-5.32669,-3.37745,-3.77663,1.74558
R,-8.9016,-5.66014,-3.13002,-3.99265,-9.04115,-5.69364,-8.95469,-5.51417,-3.43377,-3.71901,0.30844
L,-9.05827,-5.84646,-3.16858,-3.94323,-9.03391,-5.80267,-9.12788,-5.69872,-3.49012,-3.65955,0.135972
R,-9.1962,-6.00415,-3.14029,-3.84073,-8.86897,-5.41973,-9.30388,-5.88026,-3.54643,-3.59823,6.1029
L,-9.37857,-6.10168,-3.26926,-3.6118,-9.30811,-5.82368,-9.4827,-6.05868,-3.60261,-3.53503,4.73345
R,-9.55451,-6.28384,-3.32838,-3.57348,-9.80646,-6.41174,-9.66432,-6.23389,-3.6586,-3.46994,0.917788
L,-9.6909,-6.49672,-3.29041,-3.62958,-9.62547,-6.55958,-9.84874,-6.4058,-3.71431,-3.40294,0.55371
R,-9.91717,-6.65215,-3.49356,-3.51622,-10.6688,-6.35543,-10.0359,-6.57431,-3.76968,-3.33404,7.03297
L,-10.121,-6.81557,-3.59496,-3.42872,-10.2246,-6.83402,-10.2259,-6.73933,-3.82463,-3.26321,0.61437
R,-10.3074,-6.97555,-3.67499,-3.36353,-10.2205,-6.71044,-10.4186,-6.90075,-3.87907,-3.19046,1.00046
L,-10.5367,-7.15614,-3.79659,-3.30653,-10.7616,-7.29159,-10.614,-7.05849,-3.93293,-3.11577,3.59687
R,-10.7453,-7.29397,-3.90128,-3.18484,-10.8944,-6.83335,-10.8121,-7.21245,-3.98613,-3.03916,1.80648
L,-10.9913,-7.45558,-4.04006,-3.08943,-11.2219,-7.56979,-11.0128,-7.36252,-4.03859,-2.96062,3.4792
R,-11.1819,-7.59253,-4.05963,-2.98694,-10.986,-7.3707,-11.2161,-7.50861,-4.09021,-2.88015,1.23958
L,-11.3273,-7.75309,-3.9983,-2.99486,-11.0934,-7.6776,-11.422,-7.65064,-4.14093,-2.79777,3.24566
R,-11.5248,-7.87685,-4.04148,-2.8774,-11.4213,-7.46085,-11.6304,-7.78849,-4.19067,-2.71348,1.75167
L,-11.7044,-7.98208,-4.06358,-2.74994,-11.5269,-7.8215,-11.8413,-7.92208,-4.23932,-2.6273,2.99072
R,-11.9,-8.09129,-4.06516,-2.60313,-11.9422,-7.88317,-12.0546,-8.05131,-4.28682,-2.53924,1.73156
L,-12.1149,-8.18171,-4.14291,-2.44152,-12.09,-8.08828,-12.2702,-8.17609,-4.33308,-2.44932,0.559618
R,-12.3426,-8.30858,-4.26622,-2.40371,-12.4462,-8.02117,-12.4881,-8.29633,-4.37802,-2.35756,2.70771
L,-12.5454,-8.39036,-4.30499,-2.25154,-12.4231,-8.2599,-12.7082,-8.41193,-4.42155,-2.26399,1.69068
R,-12.7544,-8.47114,-4.31503,-2.07799,-12.7461,-8.19449,-12.9304,-8.5228,-4.4636,-2.16863,1.58854
L,-13.0309,-8.56148,-4.45689,-1.91578,-13.2911,-8.64594,-13.1547,-8.62886,-4.50407,-2.07151,3.98277
R,-13.2814,-8.65951,-4.5632,-1.83269,-13.7929,-8.47158,-13.381,-8.73002,-4.54289,-1.97267,2.7553
L,-13.5015,-8.70778,-4.59953,-1.64323,-13.384,-8.57583,-13.6092,-8.82619,-4.57997,-1.87214,1.66949
R,-13.7224,-8.73989,-4.59363,-1.3896,-13.6376,-8.26343,-13.8392,-8.91729,-4.61524,-1.76997,3.45846
L,-13.9427,-8.86037,-4.60162,-1.40973,-13.9959,-8.99264,-14.0709,-9.00324,-4.64861,-1.6662,1.19884
R,-14.1942,-8.95323,-4.70432,-1.4044,-14.4737,-8.79552,-14.3043,-9.08395,-4.68001,-1.56086,3.00699
L,-14.4131,-9.07369,-4.69209,-1.44299,-14.4273,-9.1875,-14.5391,-9.15936,-4.70936,-1.45402,0.842543
R,-14.6424,-9.14403,-4.69979,-1.34352,-14.5757,-9.32634,-14.7754,-9.22939,-4.73658,-1.34573,0.288513
L,-14.9296,-9.13813,-4.82059,-1.04349,-15.062,-9.04396,-15.013,-9.29397,-4.76161,-1.23603,1.77505
R,-15.1881,-9.21196,-4.86826,-0.98911,-15.6189,-9.69365,-15.2517,-9.35302,-4.78436,-1.125,4.58392
L,-15.4486,-9.33645,-4.89596,-1.06575,-15.6682,-9.56749,-15.4916,-9.40649,-4.80476,-1.01269,5.48333
R,-15.6925,-9.36268,-4.88213,-0.861707,-15.9381,-9.35751,-15.7324,-9.45431,-4.82275,-0.899159,2.08985
L,-15.9473,-9.45319,-4.9047,-0.875668,-16.0862,-9.59819,-15.9741,-9.49642,-4.83827,-0.784484,2.18353
R,-16.1998,-9.45882,-4.91637,-0.656936,-16.6033,-8.85459,-16.2164,-9.53277,-4.85124,-0.668734,2.2835
L,-16.4516,-9.45173,-4.94229,-0.454261,-16.4229,-9.37029,-16.4594,-9.5633,-4.8616,-0.55198,0.457611
R,-16.6709,-9.44823,-4.89612,-0.273388,-16.011,-9.33486,-16.7027,-9.58797,-4.8693,-0.4343,5.11652
L,-16.9538,-9.43316,-4.95451,-0.0705326,-17.1132,-9.43043,-16.9464,-9.60673,-4.87427,-0.315773,1.40534
R,-17.2044,-9.49803,-4.98082,-0.137382,-16.9255,-10.8571,-17.1903,-9.61954,-4.87646,-0.196479,7.99818
L,-17.4638,-9.51854,-4.99701,-0.0622709,-17.5448,-9.57485,-17.4342,-9.62636,-4.87583,-0.0765024,0.513133
R,-17.7219,-9.5058,-4.99024,0.109164,-18.1371,-9.39146,-17.6781,-9.62717,-4.87232,0.0440703,1.68752
L,-17.9766,-9.47294,-4.99335,0.286629,-17.9724,-9.42299,-17.9216,-9.62194,-4.86588,0.165151,0.164712
R,-18.2216,-9.43179,-4.95437,0.493829,-18.3083,-9.18778,-18.1648,-9.61064,-4.85648,0.286648,0.642932
L,-18.4212,-9.48389,-4.88247,0.408514,-18.2763,-9.60997,-18.4074,-9.59325,-4.84408,0.40847,2.39338
R,-18.6571,-9.4733,-4.88321,0.459562,-18.2443,-9.58547,-18.6493,-9.56977,-4.82864,0.530522,1.70558
L,-18.9053,-9.466,-4.87939,0.522483,-18.9545,-9.51544,-18.8904,-9.54017,-4.81012,0.652707,0.267182
R,-19.1352,-9.42871,-4.86401,0.622689,-18.6983,-9.02886,-19.1305,-9.50446,-4.78851,0.774927,3.9404
L,-19.3825,-9.30403,-4.84479,0.94369,-19.2983,-9.09865,-19.3694,-9.46265,-4.76378,0.897083,3.00088
R,-19.6166,-9.22469,-4.77758,1.16005,-19.7037,-8.79906,-19.6069,-9.41472,-4.73591,1.01907,1.06939
L,-19.8686,-9.09857,-4.74558,1.44113,-19.8731,-8.96417,-19.8431,-9.36071,-4.70487,1.1408,1.19474
R,-20.107,-8.99543,-4.70489,1.62898,-20.3815,-7.67549,-20.0775,-9.30061,-4.67066,1.26215,4.88873
L,-20.2776,-9.13561,-4.629,1.22787,-20.1607,-9.59663,-20.3102,-9.23446,-4.63328,1.38303,14.9897
R,-20.5161,-9.09593,-4.62923,1.2592,-20.4587,-9.7448,-20.5409,-9.16227,-4.59271,1.50334,1.53953
L,-20.7378,-8.99838,-4.58506,1.42688,-20.6596,-8.91527,-20.7695,-9.08408,-4.54896,1.62296,0.727977
R,-20.9797,-8.91707,-4.55995,1.55627,-21.5568,-8.5005,-20.9959,-8.99994,-4.50202,1.74179,2.45895
L,-21.1757,-8.84935,-4.48512,1.62428,-21.0195,-8.85082,-21.2198,-8.90987,-4.45191,1.85973,1.2982
R,-21.4088,-8.76109,-4.44423,1.75171,-21.8628,-8.64129,-21.4412,-8.81393,-4.39865,1.97666,1.91981
L,-21.6011,-8.73883,-4.38072,1.69753,-21.5029,-8.87191,-21.6597,-8.71217,-4.34223,2.0925,1.74184
R,-21.7922,-8.59133,-4.2156,1.98977,-21.9514,-7.41274,-21.8754,-8.60465,-4.2827,2.20712,6.46204
L,-21.9948,-8.51533,-4.16295,2.03964,-21.9793,-8.57089,-22.088,-8.49143,-4.22007,2.32043,0.217012
R,-22.2045,-8.40956,-4.14639,2.11643,-22.1914,-7.70392,-22.2975,-8.37258,-4.15437,2.43232,2.03748
L,-22.4358,-8.31121,-4.13404,2.19503,-22.5838,-8.35296,-22.5035,-8.24817,-4.08564,2.5427,1.23828
R,-22.6269,-8.19431,-4.04075,2.31792,-22.3177,-8.57758,-22.7061,-8.11829,-4.01391,2.65145,0.876383
L,-22.8644,-7.94844,-3.97787,2.69392,-22.9861,-7.6724,-22.9049,-7.98301,-3.93923,2.75848,5.81065
R,-23.0553,-7.79603,-3.82076,2.88834,-23.2693,-8.32031,-23.1,-7.84243,-3.86163,2.8637,3.28289
L,-23.2824,-7.61803,-3.77037,3.07058,-23.4777,-7.56583,-23.2911,-7.69663,-3.78118,2.96699,2.22286
R,-23.4837,-7.48116,-3.77733,3.08857,-23.473,-7.02103,-23.4781,-7.54572,-3.69792,3.06828,1.96471
L,-23.6491,-7.33773,-3.66736,3.16205,-23.5408,-7.36069,-23.6609,-7.3898,-3.61191,3.16746,0.659931
R,-23.8409,-7.178,-3.6214,3.24119,-24.0505,-6.56969,-23.8393,-7.22897,-3.52321,3.26445,0.944731
L,-24.0021,-7.08686,-3.54225,3.19,-23.9384,-7.26171,-24.0132,-7.06336,-3.43189,3.35916,2.15742
R,-24.1696,-6.90374,-3.41804,3.33512,-24.3577,-5.94086,-24.1825,-6.89307,-3.33801,3.45149,1.93724
L,-24.3305,-6.65015,-3.27414,3.58787,-24.2574,-6.4352,-24.347,-6.71823,-3.24166,3.54138,3.1245
R,-24.4979,-6.47311,-3.14886,3.69282,-24.788,-7.18367,-24.5066,-6.53895,-3.14289,3.62873,3.45801
L,-24.5955,-6.33419,-2.97628,3.69093,-24.3008,-6.43799,-24.6612,-6.35538,-3.0418,3.71347,5.30583
R,-24.7367,-6.14519,-2.8634,3.77784,-24.6108,-6.00878,-24.8107,-6.16764,-2.93846,3.79553,0.300171
L,-24.9192,-5.94121,-2.81281,3.8853,-25.146,-5.91902,-24.955,-5.97587,-2.83296,3.87484,2.74687
R,-25.0505,-5.7363,-2.70096,3.97193,-24.8975,-5.02285,-25.094,-5.7802,-2.72538,3.95132,1.84589
L,-25.1832,-5.56554,-2.60289,3.99417,-25.1941,-5.64372,-25.2276,-5.58079,-2.61581,4.02492,0.380181
R,-25.3374,-5.38049,-2.59936,4.00767,-25.5328,-5.4399,-25.3556,-5.37777,-2.50435,4.09557,1.31528
L,-25.482,-5.1568,-2.5164,4.11034,-25.5712,-5.10241,-25.4779,-5.1713,-2.39109,4.16322,0.606926
R,-25.614,-4.97978,-2.50443,4.08896,-25.0178,-6.55904,-25.5946,-4.96152,-2.27613,4.22781,6.21964
L,-25.7292,-4.80868,-2.41284,4.08415,-25.6952,-4.89995,-25.7055,-4.7486,-2.15956,4.2893,0.573559
R,-25.8496,-4.60287,-2.33929,4.13133,-25.8162,-4.40681,-25.8105,-4.53268,-2.04149,4.34764,0.15377
L,-25.9629,-4.36025,-2.23312,4.24143,-25.9516,-4.26659,-25.9096,-4.31392,-1.92202,4.40279,0.541602
R,-26.0705,-4.13851,-2.01481,4.34855,-26.8953,-4.43966,-26.0027,-4.0925,-1.80125,4.45471,11.3163
L,-26.1616,-3.85434,-1.85716,4.51022,-26.1198,-3.67723,-26.0897,-3.86856,-1.67928,4.50337,2.00027
R,-26.2348,-3.61607,-1.59915,4.60913,-26.5652,-3.85723,-26.1706,-3.64227,-1.55623,4.54875,3.4104
L,-26.2619,-3.34852,-1.35218,4.70802,-25.9974,-3.24722,-26.2453,-3.4138,-1.4322,4.59081,4.30673
R,-26.3119,-3.10434,-1.13216,4.76961,-26.2976,-3.01078,-26.3138,-3.18332,-1.30729,4.62954,0.32483
L,-26.3343,-2.86904,-0.920594,4.79248,-26.1741,-2.87885,-26.376,-2.95098,-1.18162,4.66493,1.36049
R,-26.3938,-2.6435,-0.829169,4.79472,-26.4681,-3.44967,-26.4319,-2.71697,-1.05529,4.69695,1.55963
L,-26.4693,-2.48987,-0.77376,4.6924,-26.674,-2.73852,-26.4815,-2.48143,-0.928411,4.72562,5.91368
R,-26.5259,-2.2549,-0.715984,4.70873,-26.657,-1.72382,-26.5247,-2.24456,-0.80109,4.75091,1.12748
L,-26.5756,-2.05876,-0.620146,4.66928,-26.6691,-2.17333,-26.5616,-2.0065,-0.673434,4.77284,1.24666
R,-26.6073,-1.82223,-0.54439,4.68246,-26.3248,-1.32261,-26.5921,-1.76744,-0.545553,4.79141,2.01737
L,-26.6052,-1.57375,-0.367111,4.71269,-26.4671,-1.53207,-26.6161,-1.52753,-0.417552,4.80664,1.11105
R,-26.6017,-1.34422,-0.156786,4.71228,-26.4998,-2.19525,-26.6338,-1.28695,-0.289538,4.81852,1.65551
L,-26.605,-1.11747,-0.0178484,4.70114,-26.5998,-1.14277,-26.6451,-1.04586,-0.161615,4.8271,0.0397862
R,-26.6349,-0.892808,0.0435743,4.69066,-27.2008,-1.67678,-26.65,-0.804425,-0.0338883,4.83238,5.18807
L,-26.6464,-0.642215,0.15068,4.71664,-26.7355,-0.59539,-26.6485,-0.562812,0.0935412,4.83439,0.551263
R,-26.6333,-0.401096,0.342231,4.71982,-26.9891,0.0351491,-26.6406,-0.321181,0.220572,4.83317,2.24287
L,-26.5876,-0.107545,0.542779,4.78873,-26.4553,0.0602653,-26.6264,-0.0796947,0.347104,4.82874,2.60908
R,-26.5684,0.131141,0.683363,4.77338,-26.9537,0.136944,-26.6059,0.161489,0.473041,4.82116,2.7469
L,-26.5449,0.422583,0.814803,4.83719,-26.6201,0.57588,-26.5792,0.402213,0.598287,4.81045,1.70817
R,-26.5336,0.661298,0.837355,4.82141,-26.8241,0.381508,-26.5462,0.642323,0.722748,4.79667,1.79555
L,-26.527,0.942659,0.9052,4.87213,-26.7293,1.06082,-26.5069,0.881666,0.846334,4.77986,3.00167
R,-26.4894,1.20289,0.922788,4.8849,-25.9562,2.60409,-26.4616,1.12009,0.968955,4.76007,6.90089
L,-26.4338,1.44019,1.04831,4.85035,-26.3986,1.42212,-26.4101,1.35745,1.09052,4.73737,0.0849147
R,-26.3944,1.65998,1.09629,4.79875,-26.5072,-0.563929,-26.3526,1.59361,1.21096,4.71181,8.22403
L,-26.3409,1.87164,1.19338,4.73132,-26.3594,1.79315,-26.2891,1.82841,1.33018,4.68345,0.388269
R,-26.2716,2.10286,1.33963,4.68983,-26.3475,1.82827,-26.2197,2.06173,1.44811,4.65235,0.321059
L,-26.2104,2.29696,1.42999,4.59802,-26.2502,2.18481,-26.1444,2.29342,1.56467,4.61859,0.840867
R,-26.1473,2.52545,1.47206,4.57423,-26.069,2.27896,-26.0633,2.52336,1.67979,4.58223,0.627931
L,-26.0699,2.76717,1.57497,4.56274,-26.0641,2.80701,-25.9765,2.75141,1.79339,4.54334,0.0971462
R,-25.9734,2.98928,1.79335,4.49261,-26.3234,3.02388,-25.884,2.97746,1.90543,4.502,3.0792
L,-25.8721,3.2667,1.92627,4.5292,-25.8345,3.42005,-25.786,3.20139,2.01582,4.45828,1.49177
R,-25.789,3.49651,2.01814,4.49209,-26.1824,3.73376,-25.6826,3.42306,2.12452,4.41227,2.12061
L,-25.6831,3.69788,2.13071,4.40464,-25.6666,3.63509,-25.5737,3.64238,2.23146,4.36404,0.249978
R,-25.5662,3.90566,2.26653,4.32461,-25.5773,3.13316,-25.4596,3.85924,2.3366,4.31367,1.14243
L,-25.499,4.08623,2.29141,4.22974,-25.7492,3.99967,-25.3402,4.07353,2.43989,4.26125,3.78911
R,-25.3758,4.28828,2.41322,4.1532,-25.3516,3.75691,-25.2157,4.28514,2.54127,4.20686,0.609598
L,-25.2155,4.50536,2.58115,4.09243,-25.0214,4.52803,-25.0862,4.49399,2.64071,4.15058,2.02832
R,-25.0654,4.70229,2.66397,4.02561,-24.2719,4.30917,-24.9518,4.69998,2.73817,4.09251,8.99114
L,-24.947,4.89625,2.7341,3.95688,-25.0363,4.88499,-24.8126,4.90303,2.83361,4.03273,0.43053
R,-24.7909,5.08711,2.85253,3.87437,-24.3609,4.95947,-24.6686,5.10304,2.92701,3.97132,2.31736
L,-24.6227,5.30018,2.98638,3.82858,-24.5041,5.35293,-24.5201,5.29995,3.01833,3.90839,0.921159
R,-24.4504,5.47692,3.16883,3.69414,-24.4379,5.24592,-24.367,5.49367,3.10754,3.84401,0.885456
L,-24.2627,5.64887,3.31068,3.57383,-24.1159,5.61152,-24.2095,5.68415,3.19464,3.77827,1.21349
R,-24.0974,5.80937,3.43291,3.43793,-24.5638,4.75836,-24.0477,5.8713,3.27959,3.71127,3.1262
L,-23.9227,5.9694,3.53161,3.31962,-23.9153,5.94377,-23.8818,6.05508,3.36239,3.64309,0.0424284
R,-23.78,6.15842,3.44432,3.34873,-23.5491,6.44495,-23.7117,6.23542,3.44302,3.57383,4.85792
L,-23.613,6.31419,3.5126,3.25092,-23.6471,6.29102,-23.5377,6.41227,3.52148,3.50357,0.0958132
R,-23.4641,6.49054,3.49657,3.23648,-23.7544,6.53746,-23.3598,6.58559,3.59775,3.4324,1.72163
L,-23.2405,6.71303,3.63549,3.25932,-23.0099,6.86182,-23.1781,6.75533,3.67185,3.36041,4.24602
R,-23.0444,6.8553,3.7048,3.15271,-22.7862,5.74144,-22.9928,6.92146,3.74376,3.28769,5.51686
L,-22.8317,7.02822,3.80951,3.09648,-22.6991,7.063,-22.804,7.08393,3.8135,3.21432,1.01596
R,-22.6189,7.16217,3.93497,2.9493,-22.418,6.76159,-22.6117,7.24273,3.88106,3.14038,1.62225
L,-22.4345,7.30771,3.97997,2.86638,-22.5083,7.31524,-22.4161,7.39781,3.94647,3.06598,0.290009
R,-22.2047,7.43144,4.1688,2.66624,-22.0543,7.85452,-22.2173,7.54917,4.00974,2.99118,2.61555
L,-22.0235,7.59428,4.19655,2.63459,-22.1947,7.69478,-22.0154,7.69679,4.07087,2.91607,2.11459
R,-21.8395,7.76768,4.15347,2.68177,-21.6178,9.0351,-21.8105,7.84064,4.12988,2.84074,5.69612
L,-21.6323,7.91049,4.20729,2.61534,-21.6473,7.94,-21.6026,7.98072,4.18681,2.76526,0.0640778
R,-21.4411,8.04671,4.21131,2.56598,-21.8637,7.78661,-21.392,8.11703,4.24166,2.68971,1.57904
L,-21.2159,8.08092,4.27846,2.28895,-21.0852,7.8323,-21.1787,8.24957,4.29447,2.61416,4.60171
R,-21.0239,8.24031,4.20773,2.37096,-20.5503,9.28616,-20.9628,8.37833,4.34526,2.53871,6.0265
L,-20.8466,8.39319,4.19912,2.38153,-21.0519,8.50983,-20.7445,8.50333,4.39406,2.46341,2.97409
R,-20.6042,8.50203,4.33551,2.23752,-19.9265,9.40847,-20.5237,8.62457,4.4409,2.38835,4.61339
L,-20.3556,8.63935,4.42249,2.20207,-20.21,8.68914,-20.3006,8.74206,4.48582,2.31358,1.31435
R,-20.1561,8.77446,4.3703,2.23969,-20.2277,8.8532,-20.0754,8.85583,4.52884,2.23919,1.55999
L,-19.9582,8.87548,4.374,2.15851,-20.0633,8.86724,-19.848,8.96589,4.57001,2.16524,0.596146
R,-19.7573,8.99863,4.33374,2.1755,-19.9264,8.7818,-19.6186,9.07227,4.60937,2.09179,1.11353
L,-19.5364,9.06893,4.36726,2.04074,-19.4861,8.96664,-19.3873,9.17499,4.64694,2.01891,0.754758
